Sample,raw_reads,clean_reads,Reads_clean_ratio(%),raw_bases,clean_bases,Base_clean_ratio(%),Q20(%),Q30(%),duplication_level(%),%GC
812-Flag,48124684,46366684,96.3469890004888,7218702600,6679264728,92.5272185059958,99.9998813803463,97.7179179747272,35.0110773140816,50
812-AS2,47736924,45181864,94.6476232947058,7160538600,6577827317,91.8621864143013,99.9997454730951,97.1570761324276,40.7993501357986,48.5
549-Flag,57921588,55442840,95.7205109777032,8688238200,8097230924,93.1976165662677,99.9996806968836,96.4822657043135,39.9781512800071,48
549-AS2,47425212,44480130,93.7900499000405,7113781800,6457806503,90.7788105477174,99.999642537016,96.92920036405,45.141915480516,47.5
